origination_date,loan_amount,annual_interest_rate,repay_date,repay_amount,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
2016-12-01,42000,0.26,2017-12-15,53491.2,0.007000262845395401,0.010646627562423962,-0.0032540212421368914,-0.007238278736391928,-0.011661860825691227,-0.01836916374220795,0.00116871980738229,-0.0011396605380157479,0.014282539982968395,0.00898042500827312,-0.0002595855309973528,0.0005568114480615894,0.005366001075684375,-0.004904617537352222,-0.0007428169323791044,0.00554974329412342,-0.00012354851227742243,0.008952447447720842,0.007500699891595406,0.004159613636436686,-0.003029584859750063,-0.005158680074599241,0.00034572086739561507,0.0001865280444721858,-0.007991645301680571,0.00297549521634269,0.005373333761280338,-0.0002483627205116772,0.006548915719461391,-0.00664056308959827
2016-11-09,5000,0.27999999999999997,2018-06-04,7561.75,-4.1216862223048804e-05,0.011414950726650363,0.004383730536455118,-0.008995901876545824,0.002065849854938846,0.0013412349346683446,-0.0023371815349824683,-0.008499052072832896,-0.010335804319569427,0.005410127713880756,-0.0010908359281367897,-0.0010653121264339862,0.003515674247847076,0.0035780709873140734,0.006799127102201952,0.0004902552610636052,-0.0012830853869130554,-0.004353195967930082,0.009413983527230333,-0.0006883188858575386,0.00014336860472873722,-0.008153723750324901,-0.005961823905763276,0.0013241428881778509,0.006515246036603644,-0.0034864984494033945,0.007814061530034425,0.003317708915055607,-0.002650161683258795,0.008161283416382514
2017-07-02,36000,0.27999999999999997,2017-10-10,0.0,0.0040819886607752895,0.004537188600849306,-0.0026709312131903444,-0.007623947345719236,-0.0013504216259492105,0.00670426254261166,-0.0009239685827010458,-0.002386140284432235,0.005275247557338458,0.007756867791713757,-0.0013879209394976528,0.006090813901784649,-0.00207986826226602,-0.00013184752239341405,0.004375460217550628,-0.0032821181692602136,-0.009503107236151949,-0.004060940521789612,0.008552511701384878,0.004523124571490262,0.004894578647370407,-0.0029806790650157107,-0.003960682921246329,0.0010557398080940728,0.0017302002925549942,0.003360030021091122,0.0031015163034008547,-0.003023909808280509,0.0011136263406831255,-0.0049168957316871615
2016-04-16,22000,0.2,2017-03-31,26189.85,0.002840800388764807,0.0022109188867241577,-0.0038835698843959314,-0.0018834391877596154,-0.006990142714129075,-0.015139805036748019,0.0012930975835926495,0.007127566419491231,0.00845832985089433,0.0028758682538088153,-0.010843983183601068,-0.0015068947815669062,0.0012805958179976894,0.00012375602828392654,-0.002270095785338722,-0.004834052717489015,0.0009820758503817563,-0.0052112951180803,-0.007845319665854854,0.0008883943295689545,-0.00041278741579444295,0.007849817583621117,0.003689229729655449,-0.0029239209833419842,-0.0033847310904004885,-0.0012776969172553357,0.007599926690277141,-0.0006692304922644689,0.004706561558366072,-0.0016661630506303836
2015-01-27,11000,0.2,2015-12-03,13142.29,0.0013023236172629634,0.007544158840878658,0.002544990645991645,0.002740932894546992,-0.013535046366317059,0.005842191097037194,0.0018752265470941337,0.0006057461703761474,0.0009730680327768206,0.00013650090422736018,0.002126851421971347,-0.0037358597726851505,-0.00223852434197778,0.000493779383896854,-0.00220200225500068,-0.0019199094086779014,-0.00043863727539957887,0.002515423667027952,-0.0065512678096251165,-0.004569985907892743,-0.005538739794806245,-0.001266388687527376,-0.009403992603775689,0.0065494831673704006,0.0054752900180256615,0.0008681696643175659,0.005376084550163877,0.00053597248439436,0.0014337366562589392,-0.0037317941402764216
2017-03-08,5000,0.2,2017-06-20,5366.61,0.004875301128412301,0.000260472191978465,0.0021240536131840295,-0.0004184881479295327,0.0037079200209571782,0.008539610422111234,0.0015501434327667794,-0.004819866638132154,-0.008374161642871176,-0.0028612808625374147,0.0019052372886256405,0.0057135660654229845,0.008287619526661308,0.005599432045170708,0.008633813485002606,-0.004597322669407086,-0.004246142584670831,-0.0059320698945193,0.002874251795846036,0.005614489972780732,0.005791605445912321,-0.00901645845968683,0.0010757161834981414,-0.010072788675125802,0.004147903727583478,0.007672896558556784,0.00935462568991202,0.004737389782079261,-0.00042043165452282935,-0.0033173338662494164
2015-12-16,7000,0.24,2017-11-23,10824.55,0.007738530844876355,-0.007025257522495329,0.005219002977865067,0.006650937679699872,0.000987080914714574,-0.00743076161787287,-0.005421268646005844,0.005948928294433022,0.014906429200696205,0.010320702056208865,-0.00518343283402169,-0.003431354980219388,0.0002912044165312196,-0.0024537938451074785,0.0007694649531511806,-0.0011385123776043982,0.008361476837022095,0.003225850441443923,-0.007100363550814163,-0.010566036382166875,-0.006307761214820094,0.0001850460367035556,-0.002198726669557399,0.020698566583962776,0.0021543153548236266,-0.0010743027557117652,-0.00929655737274407,0.0060161465591810695,0.003759647428240906,0.0028204665190900385
2015-07-04,23000,0.24,2016-01-24,0.0,0.0017571311977216833,-0.016231799458418617,-0.005370592664367175,0.010013080209196104,-0.0049128264536152585,-0.008617964319980007,0.0033071219185061298,0.008810209271046103,-0.011542539139279611,0.008805240930625796,0.006481313110900282,0.006292359642841836,-0.008528541555219137,0.00023924665472423157,-0.0006641563786048457,0.0032263759551330808,-0.00253872770697643,0.007157482008007966,-0.0017196731714097452,0.006945677378598753,0.0005236931254384627,0.0047440712949596816,0.002760200239129042,-0.0024350114796818194,-0.0035971824544999893,-0.007299315877769453,0.0011327130262586635,-0.0011914940374911757,0.0017656418174746941,-0.005535156568637938
2016-10-11,6000,0.27999999999999997,2017-10-03,7638.56,-0.0005789182551823348,0.002889584973003808,-0.0017666663892386236,-0.0019539594175441823,-0.005038345946858786,0.0007794481682212039,-0.0053870453462096105,0.003493944107369597,0.003565196762689736,-0.012906230039996898,-0.004252193715950075,0.000633060786491042,0.0028346118354256327,-0.0009849814708956127,0.0015193856947943163,-0.003633236361596116,0.004222382985464742,0.0007390029764502204,-0.0012624623893032244,0.008466259438801147,-0.002470799237324524,0.0034614183312713614,-0.00830593576407577,0.012885403202474707,-0.0004216325295396601,-0.009024519095978721,-0.00043840695965258707,-0.00037174003836241206,-0.000970970934284441,-0.004976616039709424
2016-02-24,32000,0.26,2016-07-18,35077.06,0.011319202319344227,0.00463369216975663,0.001208380452283774,0.006582967713744762,-0.004353974961256681,-0.0005587327782968238,0.006993820743187542,0.009930084831584272,0.00017803585107998264,-0.0010068872583222544,0.006782642571216874,0.012699554184329838,-0.001984210132072646,5.206853511068113e-05,-0.006596575228864958,0.0029396773662991797,-0.004743380672684647,0.011738366480588116,-0.00664417091306915,0.006895711909130175,-0.004091126570883187,0.018743434650493624,-0.006299072432383051,0.0024667863829241883,-0.003556324742293366,-0.00230970971717882,-0.0027500792753126307,-0.0012759085562172058,-0.002688639886226387,-0.003204244394409326
2016-12-09,77000,0.2,2017-01-11,78379.78,0.002843991288438768,0.002142419078250781,-0.0060768513137974016,0.004722559402942793,0.0008150081987157385,-0.009266164666892642,-0.004561510177423389,0.0026416844782939175,0.00656269780846009,0.01355212031481014,-0.011062917885163254,0.0015963350460839723,-0.0103990802251385,0.00505481922284714,0.0017043447162187189,-0.0030643999298521803,0.003599342731658963,1.380784138749081e-06,-0.0017266655291566383,0.006786319065783307,0.0022400903629660024,2.930328863130652e-06,0.0016960164886986307,0.005424832918374328,0.0027502471651021407,-0.007935322235455235,0.002765223916014476,-0.0006620821147738692,0.014421709358747233,-0.0022788644484994006
2017-02-07,16000,0.27999999999999997,2017-06-20,17505.94,-0.0012390613518186908,-0.004953236275564794,0.0013795324984654028,-0.0003608393085475609,-0.0002178208749712332,0.009072471807364578,0.004835772058958999,0.005870891748951775,-0.0019596789822078843,-0.010914294570313277,9.075821516679992e-05,0.013317038750257549,-0.0005566795382932423,-0.0030584393513959137,0.006666084615610634,0.006485075793793201,-0.01115135895003395,-0.003314695072902707,0.005456787397867051,0.009305332002103484,-0.0036821153255894713,-0.0017913163494936927,0.00022641880135247481,-0.0017052995784529318,-0.010127405582476335,-0.006796573011985372,0.014218580737639108,-0.006066613350626249,0.0025797350392278953,0.003452700584846417
2017-12-15,22000,0.2,,,0.007404400238191929,-0.0019981274609680855,0.0015203073361018489,-0.005431968536158399,-0.012880904152958334,-0.0007324045591574595,-0.004964437937699142,0.0006350371273795277,0.0047679169884774,0.0018879847095048103,-0.01154059582504677,0.0011210761915233793,0.0012385253301939094,-0.008407578004152068,0.0016457304653173116,-0.0008997503038287629,-0.0019200636687100499,0.006347033360120343,-0.0016091059553144168,-0.006597132144251651,-0.0026138389061654667,-0.002763306285669586,-0.010968499833716483,-0.002904745267046408,-0.003582025682912268,0.0031909288515549056,-0.0042461708981214345,0.004077240838723845,0.012986830834087236,-0.0013254316831295084
